,location,event,date,artists,genre
0,Zürich,Krankensonntag,2013-03-03,"['Kurt Meier ', ' Felix Gubser ']",['Classic']
1,Zürich,Purzel-Konzert-Die-Schnecke-und-der-Buckelwal,2013-03-03,"['Sandra Goldberg ', ' Frauke Tometten Molino ', ' Seon-Deok Baik ', ' Silvan Hürlimann ']",['Classic']
2,Baden,Konzertmatinée,2013-03-03,['Da Sol '],['Classic']
3,Rapperswil,Quintett-Ikarus,2013-03-03,"[' Stefanie Suhner ', ' Andreas Lareida ', ' Lucca Fries ', ' Moritz Meyer ', ' Ramón Oliveras ']","['Jazz', 'Blues', 'Soul']"
4,Brunnen,Randy-Thompson-Band,2013-03-03,"['Randy Thompson Band ', ' Randy Thompson ', ' Colin Thompson ', ' Kurt Kratch ', ' Dwayne Nitz ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
5,Bern,Klavierrezital,2013-03-03,['Silvia Harnisch '],['Classic']
6,Dietikon,Musik-und-Wort-zur-Fastenzeit,2013-03-03,"['Réka Jaksics ', ' Bernhard Hörler ']",['Classic']
7,Zürich,Und-plötzlich-war-ich-weg,2013-03-03,"['Vera Pritchina ', ' Jannik Till ']",['Pop']
8,Winterthur,Strings-Meet-Sousa,2013-03-03,[' Manuel Beyeler '],['Classic']
9,Zürich,Benefizkonzert-zum-Tag-der-Kranken,2013-03-03,"[' Dorothee Kurmann ', ' Markus Braun ']",['Classic']
10,Dübendorf,Vesper-Wort-und-Musik,2013-03-03,"[' Martina Zimmerli ', ' Bernhard Isenring ']",['Classic']
11,null,Renaissance-in-Europa,2013-03-03,"[' Beatrice Voellmy ', ' Alexander Seidel ', ' Neal Banerjee ', ' Heinz Meyer ', ' Elam Rotem ']",['Classic']
12,Wädenswil,Von-Beethovens-Fantasie-zur-spanischen-Rhapsodie,2013-03-03,['Werner Bärtschi '],['Classic']
13,Zürich,Don-&-Giovannis,2013-03-03,[' Andreas Winkler '],"['world', 'music']"
14,Bern,Musikzyklus-Kammermusik-an-der-Kramgasse,2013-03-03,"['Jean-Luc Sperissen ', ' Juliana Georgieva ', ' Vincent Durand ', ' Nada Anderwert ']",['Classic']
15,Zug,Luzia-von-Wyl-Ensemble,2013-03-03,"[' Luzia von Wyl ', ' Mokdad ', ' Nicola Katz ', ' Lukas Roos ', ' Simon Heggendorn ', ' Jonas Iten ', ' André Pousaz ', ' Raphael Christen ', ' Rico Baumann ']","['Jazz', 'Blues', 'Soul']"
16,Hallenstadion,Zürich,2013-03-03,['Unheilig '],['Unheilig']
17,Luzern,Eliane-Amherd-Quartet,2013-03-03,"[' Eliane Amherd ', ' Aismar Simon Carillo  ', ' Rodolfo Guerra  ', ' Ernesto Lopez Maturell  ']","['Jazz', 'Blues', 'Soul']"
18,Zürich,Trondheim-Jazz-Orchestra-feat.-Joshua-Redman,2013-03-03,"['Trondheim Jazz Orchestra feat. Joshua Redman ', ' Joshua Redman ', ' Eirik Hegdal ', ' Trine Knutsen ', ' Stig Forde Aarskog ', ' Eivind Lonning ', ' Erik Johannessen ']","['Jazz', 'Blues', 'Soul']"
19,Komplex-457,Zürich,2013-03-03,"['The Parov Stelar Band ', ' DJ Pat Poree ']","['The', 'Parov', 'Stelar', 'Band']"
20,Zürich,Kammermusik-Soiree,2013-03-03,"[' Christian Tetzlaff ', ' Elisabeth Kufferath ', ' Hanna Weinmeister ', ' Tanja Tetzlaff ']",['Classic']
21,Luzern,Mono,2013-03-03,"['Mono ', ' support: Chris Brokaw ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
22,null,Michael-Rose-&-The-I-Dwins-Band,2013-03-03,['Michael Rose & The I-Dwins Band '],"['Hip', 'Hop', ""R'n'B""]"
23,Stall-6,Zürich,2013-03-03,['The Sea & Cake '],['Cake']
24,Luzern,Dead-Ghosts,2013-03-03,['Dead Ghosts '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
25,Winterthur,Cecilia-Ugarte,2013-03-03,"['Cecilia Ugarte ', ' Cecilia Ugarte ', ' David Lechmann ']",['Pop']
26,Zürich,Quintett-Ikarus,2013-03-03,"[' Stefanie Suhner ', ' Andreas Lareida ', ' Lucca Fries ', ' Moritz Meyer ', ' Ramón Oliveras ']","['Jazz', 'Blues', 'Soul']"
27,null,Wenzel-&-Band,2013-03-03,"[' Hans-Eckhardt Wenzel ', ' Hannes Scheffler ', ' Thommy Krawallo ', ' Stefan Dohanetz ']","['Jazz', 'Blues', 'Soul']"
28,Zürich,Swanky-Mothers-Series-VI,2013-03-03,"[' Jonas Labhart ', ' Dave Gisler ', ' Marius Peyer ']","['Jazz', 'Blues', 'Soul']"
29,El-Lokal,Zürich,2013-03-03,['The Bony King of Nowhere '],"['The', 'Bony', 'King', 'of', 'Nowhere']"
30,Parterre-One,Basel,2013-03-03,['The Bony King of Nowhere '],"['The', 'Bony', 'King', 'of', 'Nowhere']"
31,Pratteln,At-Vance,2013-03-03,['At Vance '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
32,Turnhalle-im-Progr,Bern,2013-03-03,"[' Pierre Favre ', ' Julian Sartorius ']","['Pierre', 'Favre']"
