location,event,date,artist,genre
Thun,AM SCHLUSS,2012-07-27,CARAVANA,
Lucerne,BLUE BALLS,2012-07-27,ANNA CALVI,
Lucerne,BLUE BALLS,2012-07-27,DE LA SOUL,
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-27,HAMELMAL HABATE,
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-27,LAURENT SARRIEN,
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-27,MALCOLM BRAFF,
Geneve,FETES DE GENEVE,2012-07-27,AYA WASKA,
Geneve,MUSIQUES EN ETE,2012-07-27,SELAH SUE,
Etziken,OPENAIR ETZIKEN,2012-07-27,THE DELILAHS,
