location,event,date,artist,genre
Thun,AM SCHLUSS,2013-07-25,JAMARAM,
Lucerne,BLUE BALLS,2013-07-25,JONATHAN WILSON,
Lucerne,BLUE BALLS,2013-07-25,JAMIE LIDELL,
Lucerne,BLUE BALLS,2013-07-25,DJ KOFFI,
Geneve,FETES DE GENEVE,2013-07-25,DJ RAPHY,
Gunzgen,MOTION OPENAIR,2013-07-25,MONIKA KRUSE,
Geneve,MUSIQUES EN ETE,2013-07-25,ROGER MURARO,
Nyon,PALEO FESTIVAL,2013-07-25,SANTANA,
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-25,BENOIT CAPT,
